DateTime,AddedIPs,RemovedIPs
1462784798,18,671
1462788390,14,282
1462799207,4180,1504
1462802809,935,18
1462810012,1902,21
1462817195,1879,32
1462824408,2042,17
1462835194,5574,22
1462838808,1848,6845
1462842390,1506,299
